                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5263,                  3.582,                 1.1815,                 0.2186,                0.25182,                0.21968,                0.15681,                 1.0709,                 1.4746,                 0.9665,             6.9254e-05,             6.9254e-05,             6.9254e-05
                      2,                 1.1115,                 1.9147,                0.98653,                0.29406,                0.34318,                0.25731,                0.19819,                0.89244,                 1.2485,                0.90405,             0.00013584,             0.00013584,             0.00013584
                      3,                0.98771,                 1.6044,                0.95298,                0.25767,                0.42023,                0.28729,                0.22526,                0.83653,                 1.1467,                0.89052,             0.00019969,             0.00019969,             0.00019969
                      4,                0.92059,                 1.3998,                0.93304,                0.32705,                 0.5065,                0.34314,                0.27447,                0.75673,                 1.0294,                0.86636,             0.00019564,             0.00019564,             0.00019564
                      5,                0.86854,                 1.2501,                0.91788,                0.37636,                 0.5441,                0.42427,                 0.3406,                0.72702,                0.94751,                0.85979,             0.00019564,             0.00019564,             0.00019564
                      6,                0.82941,                 1.1305,                 0.9109,                0.41887,                0.57621,                0.49006,                0.39351,                0.70864,                0.88047,                0.85668,             0.00019153,             0.00019153,             0.00019153
                      7,                0.80013,                 1.0294,                0.90087,                0.48671,                 0.6495,                0.55001,                0.44276,                 0.6811,                0.81333,                0.84851,             0.00018741,             0.00018741,             0.00018741
                      8,                0.77457,                0.95461,                0.89739,                0.55228,                0.67637,                0.62079,                0.50263,                0.65856,                0.74668,                0.84473,             0.00018329,             0.00018329,             0.00018329
                      9,                0.75369,                0.89517,                0.89193,                 0.5982,                0.70038,                0.67425,                0.54549,                0.63989,                0.69794,                0.84101,             0.00017917,             0.00017917,             0.00017917
                     10,                0.74021,                0.84328,                0.88721,                0.70184,                0.69768,                0.73886,                0.60391,                0.61691,                0.64404,                0.83659,             0.00017505,             0.00017505,             0.00017505
                     11,                0.72388,                0.80133,                0.88586,                0.67969,                0.72802,                 0.7548,                0.61581,                0.61199,                 0.6252,                0.83489,             0.00017093,             0.00017093,             0.00017093
                     12,                0.71035,                0.76361,                0.88212,                 0.7171,                0.71942,                0.76831,                0.63116,                0.61065,                0.59927,                0.83701,             0.00016682,             0.00016682,             0.00016682
                     13,                0.69412,                0.73724,                0.87607,                0.73732,                0.75059,                0.79971,                0.65839,                0.59772,                0.58095,                0.83227,              0.0001627,              0.0001627,              0.0001627
                     14,                0.68599,                0.70731,                0.87465,                0.74913,                0.76171,                0.81504,                0.67457,                0.58031,                0.55655,                0.82816,             0.00015858,             0.00015858,             0.00015858
                     15,                0.67252,                0.68207,                0.87296,                0.76608,                0.77933,                0.82909,                0.69103,                0.57136,                0.53335,                0.82836,             0.00015446,             0.00015446,             0.00015446
                     16,                0.66278,                0.66202,                0.86739,                0.77444,                0.78537,                0.84044,                0.70358,                0.55915,                0.52497,                0.82273,             0.00015034,             0.00015034,             0.00015034
                     17,                0.65148,                0.64261,                0.86531,                0.81096,                0.78895,                0.86177,                0.72162,                0.55417,                0.50442,                0.82469,             0.00014622,             0.00014622,             0.00014622
                     18,                0.64801,                0.63344,                0.86621,                0.83201,                0.79262,                0.87036,                 0.7327,                0.55851,                0.49977,                0.82519,             0.00014211,             0.00014211,             0.00014211
                     19,                0.63914,                0.61735,                0.86578,                0.82141,                 0.8145,                0.88033,                0.74572,                0.53944,                0.47766,                0.81892,             0.00013799,             0.00013799,             0.00013799
                     20,                0.63562,                0.60357,                0.86468,                0.82757,                0.83929,                0.89169,                 0.7553,                0.54511,                0.46909,                 0.8234,             0.00013387,             0.00013387,             0.00013387
                     21,                0.62865,                 0.5973,                0.86353,                 0.8603,                0.81251,                0.89268,                0.75837,                0.52857,                0.45575,                0.81861,             0.00012975,             0.00012975,             0.00012975
                     22,                0.61315,                0.57882,                0.85766,                0.85588,                0.82396,                0.89395,                0.76178,                0.52409,                0.45977,                0.81838,             0.00012563,             0.00012563,             0.00012563
                     23,                0.61337,                0.57455,                0.85933,                0.86799,                0.83225,                0.90359,                0.77028,                0.51379,                0.44362,                0.81467,             0.00012151,             0.00012151,             0.00012151
                     24,                0.60998,                0.56952,                0.85911,                  0.877,                0.83302,                0.90314,                0.77368,                0.50991,                0.43758,                0.81374,              0.0001174,              0.0001174,              0.0001174
                     25,                0.59855,                0.54956,                0.85537,                0.88934,                0.82265,                0.90755,                  0.777,                0.49916,                0.42888,                0.81317,             0.00011328,             0.00011328,             0.00011328
                     26,                 0.5917,                0.54179,                0.85627,                0.88611,                0.82848,                0.91406,                0.79036,                0.49526,                 0.4212,                0.81197,             0.00010916,             0.00010916,             0.00010916
                     27,                0.59029,                0.53893,                 0.8535,                0.89401,                0.83014,                0.91315,                0.78775,                0.49098,                0.41896,                0.81394,             0.00010504,             0.00010504,             0.00010504
                     28,                0.58091,                0.52507,                0.85004,                0.89896,                0.84625,                0.91977,                0.79428,                 0.4834,                0.40397,                0.80915,             0.00010092,             0.00010092,             0.00010092
                     29,                0.57885,                 0.5235,                0.84934,                0.87272,                0.85984,                0.92036,                0.79731,                0.48471,                0.40509,                 0.8102,             9.6803e-05,             9.6803e-05,             9.6803e-05
                     30,                0.57125,                0.51515,                0.85145,                0.89424,                 0.8525,                0.92196,                0.80152,                0.47515,                0.39946,                0.80952,             9.2685e-05,             9.2685e-05,             9.2685e-05
                     31,                0.56943,                0.51185,                0.84854,                0.89472,                0.85995,                0.92734,                0.80821,                0.47519,                0.39404,                0.80957,             8.8566e-05,             8.8566e-05,             8.8566e-05
                     32,                 0.5632,                0.50297,                0.85018,                0.89578,                0.85891,                0.92864,                0.81015,                0.46495,                0.38716,                0.80625,             8.4448e-05,             8.4448e-05,             8.4448e-05
                     33,                0.55372,                0.49805,                0.84641,                0.89469,                0.87132,                0.93027,                0.81277,                0.45788,                0.38256,                0.80503,              8.033e-05,              8.033e-05,              8.033e-05
                     34,                0.55246,                0.49642,                0.84461,                0.90007,                 0.8731,                0.93045,                0.81393,                0.46005,                0.37966,                0.80649,             7.6211e-05,             7.6211e-05,             7.6211e-05
                     35,                0.55296,                0.49271,                0.84556,                0.90121,                0.86162,                0.93245,                0.81663,                0.45428,                0.37558,                0.80482,             7.2093e-05,             7.2093e-05,             7.2093e-05
                     36,                0.54716,                0.48863,                0.84541,                0.91465,                0.86468,                0.93481,                0.82047,                0.45295,                0.37117,                0.80466,             6.7974e-05,             6.7974e-05,             6.7974e-05
                     37,                0.53894,                0.47416,                0.84327,                0.90501,                  0.876,                0.93491,                 0.8208,                0.45057,                0.36848,                 0.8043,             6.3856e-05,             6.3856e-05,             6.3856e-05
                     38,                0.53344,                0.47427,                0.84265,                 0.9177,                0.86842,                0.93586,                0.82312,                0.44793,                0.36738,                0.80447,             5.9738e-05,             5.9738e-05,             5.9738e-05
                     39,                0.53137,                0.47662,                0.84178,                0.91545,                0.86893,                0.93716,                0.82542,                0.44418,                0.36189,                0.80336,             5.5619e-05,             5.5619e-05,             5.5619e-05
                     40,                0.52696,                0.46523,                0.84072,                0.92715,                0.86915,                0.94104,                0.82982,                0.44309,                0.35911,                0.80434,             5.1501e-05,             5.1501e-05,             5.1501e-05
                     41,                0.48541,                0.41858,                 0.8192,                0.93171,                0.84898,                0.93459,                0.82226,                 0.4523,                0.36626,                0.80448,             4.7382e-05,             4.7382e-05,             4.7382e-05
                     42,                0.47369,                0.40599,                0.81422,                0.91637,                0.87094,                0.93732,                0.82723,                0.44217,                0.35991,                0.80251,             4.3264e-05,             4.3264e-05,             4.3264e-05
                     43,                0.46698,                0.40382,                0.81294,                0.90906,                0.88412,                0.93976,                0.82962,                0.43741,                0.35704,                0.80186,             3.9146e-05,             3.9146e-05,             3.9146e-05
                     44,                0.46249,                 0.3968,                0.81212,                0.91308,                0.87675,                0.94012,                0.83228,                0.43489,                0.35484,                0.80036,             3.5027e-05,             3.5027e-05,             3.5027e-05
                     45,                0.45429,                0.39234,                0.81264,                0.91684,                0.87063,                0.94082,                0.83405,                0.42907,                0.35135,                0.79972,             3.0909e-05,             3.0909e-05,             3.0909e-05
                     46,                0.45169,                0.38823,                0.81142,                0.92696,                0.87333,                0.94252,                0.83715,                0.42954,                0.34767,                0.80082,              2.679e-05,              2.679e-05,              2.679e-05
                     47,                0.45042,                0.38789,                0.81161,                0.93623,                0.87246,                 0.9427,                0.83707,                0.42738,                0.34408,                0.80022,             2.2672e-05,             2.2672e-05,             2.2672e-05
                     48,                0.44164,                0.38165,                0.80829,                0.93195,                0.87204,                0.94317,                0.83895,                0.42413,                0.34448,                0.79915,             1.8554e-05,             1.8554e-05,             1.8554e-05
                     49,                0.43768,                0.37613,                0.80787,                0.91967,                0.87734,                0.94208,                0.83778,                0.42267,                 0.3445,                0.79885,             1.4435e-05,             1.4435e-05,             1.4435e-05
                     50,                0.43448,                0.37248,                0.80792,                 0.9232,                 0.8747,                 0.9425,                0.83929,                0.42044,                0.34223,                0.79855,             1.0317e-05,             1.0317e-05,             1.0317e-05
